full_text,translated,klasifikasi,prediksi,sentiment
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Negatif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Netral,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Netral,,
,,Positif,,
,,Negatif,,
,,Positif,,
,,Negatif,,
,,Negatif,,
,,Positif,,
,,Positif,,
,,Netral,,
,,Netral,,
,,Positif,,
,,Negatif,,
